source,target,count
Cornell,Goldman Sachs,1
Harvard,Goldman Sachs,1
Stanford,Goldman Sachs,1
University of Michigan,Goldman Sachs,1
University of Michigan,Goldman Sachs,1
University of South Dakota,Goldman Sachs,1
UPenn,Goldman Sachs,1
Villanova,Goldman Sachs,1
WashU St. Louis,Goldman Sachs,1
Yale,Goldman Sachs,1
Goldman Sachs,MDP,1
Goldman Sachs,Warburg Pincus,1
Goldman Sachs,Silverlake,1
Goldman Sachs,Apax Capital,1
Goldman Sachs,GTCR,1
Goldman Sachs,Bain Capital,1
Goldman Sachs,Warburg Pincus,1
Goldman Sachs,Varadero Capita,1
Goldman Sachs,Advent,1
Goldman Sachs,Bain Capital,1
Varadero Capita,Warburg Pincus,1